titleEnglish;titleRomaji;startDate;endDate;format;genres;popularity;score;image
Cowboy Bebop;Cowboy Bebop;3/4/1998;24/4/1999;TV;['Action', 'Adventure', 'Drama', 'Sci-Fi'];322988;86;images\1.png
Cowboy Bebop: The Movie - Knockin' on Heaven's Door;Cowboy Bebop: Tengoku no Tobira;1/9/2001;1/9/2001;MOVIE;['Action', 'Drama', 'Mystery', 'Sci-Fi'];60045;82;images\5.png
Trigun;TRIGUN;1/4/1998;30/9/1998;TV;['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi'];113787;79;images\6.png
Witch Hunter ROBIN;Witch Hunter ROBIN;2/7/2002;24/12/2002;TV;['Action', 'Drama', 'Mystery', 'Supernatural'];15158;68;images\7.png
Beet the Vandel Buster;Bouken Ou Beet;30/9/2004;29/9/2005;TV;['Adventure', 'Fantasy', 'Supernatural'];2121;62;images\8.png
Eyeshield 21;Eyeshield 21;6/4/2005;19/3/2008;TV;['Action', 'Comedy', 'Sports'];25120;75;images\15.png
Honey and Clover;Hachimitsu to Clover;15/4/2005;27/9/2005;TV;['Comedy', 'Drama', 'Romance', 'Slice of Life'];44378;76;images\16.png
Hungry Heart: Wild Striker;Hungry Heart: Wild Striker;11/9/2002;10/9/2003;TV;['Comedy', 'Slice of Life', 'Sports'];3525;70;images\17.png
Initial D 4th Stage;Initial D FOURTH STAGE;17/4/2004;18/2/2006;TV;['Action', 'Drama', 'Sports'];31927;79;images\18.png
Monster;MONSTER;7/4/2004;28/9/2005;TV;['Drama', 'Horror', 'Mystery', 'Psychological', 'Thriller'];201423;88;images\19.png
Naruto;NARUTO;3/10/2002;8/2/2007;TV;['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Supernatural'];494374;79;images\20.png
ONE PIECE;ONE PIECE;20/10/1999;None/None/None;TV;['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy'];464638;87;images\21.png
The Prince of Tennis;Tennis no Ouji-sama;10/10/2001;23/3/2005;TV;['Action', 'Comedy', 'Sports'];26328;74;images\22.png
Ring ni Kakero 1;Ring ni Kakero 1;6/10/2004;15/12/2004;TV;['Action', 'Sports'];1104;54;images\23.png
School Rumble;School Rumble;5/10/2004;29/3/2005;TV;['Comedy', 'Romance', 'Slice of Life'];44426;75;images\24.png
Desert Punk;Sunabouzu;6/10/2004;30/3/2005;TV;['Action', 'Adventure', 'Comedy', 'Ecchi', 'Sci-Fi'];20380;68;images\25.png
Texhnolyze;TEXHNOLYZE;17/4/2003;25/9/2003;TV;['Action', 'Drama', 'Psychological', 'Sci-Fi'];54955;76;images\26.png
Trinity Blood;Trinity Blood;29/4/2005;28/10/2005;TV;['Action', 'Drama', 'Horror', 'Sci-Fi', 'Supernatural'];19292;67;images\27.png
Yakitate!! Japan;Yakitate!! Japan;12/10/2004;14/3/2006;TV;['Comedy'];14827;75;images\28.png
Zipang;Zipang;7/10/2004;31/3/2005;TV;['Action', 'Sci-Fi'];4500;71;images\29.png
Neon Genesis Evangelion;Shin Seiki Evangelion;3/10/1995;27/3/1996;TV;['Action', 'Drama', 'Mecha', 'Mystery', 'Psychological', 'Sci-Fi'];323171;83;images\30.png
